 	20	14716	B L yellow	PART	Brick 1 x 1 x 3
 	40	3004	B L yellow	PART	Brick 1 x 2
 	10	4073	D purple	PART	Plate, Round 1 x 1 Straight Side
 	20	2423	green	PART	Plant Leaves 4 x 3
 	20	2419	green	PART	Wedge, Plate 3 x 6 Cut Corners
 	10	3023	lime	PART	Plate 1 x 2
 	20	3020	lime	PART	Plate 2 x 4
 	10	11618	magenta	PART	Friends Accessories Hair Decoration, Bow with Heart, Long Ribbon and Pin
 	10	98388pb03	M azure	PART	Bird, Friends with Bright Light Orange Chest, Black Eyes, and Dark Bluish Gray Beak Pattern
 	40	3023	M lavender	PART	Plate 1 x 2
 	10	3666	M lavender	PART	Plate 1 x 6
 	10	14769	M lavender	PART	Tile, Round 2 x 2 with Bottom Stud Holder
 	10	41044-1	minifig	INSTRUCTION	Macaw&#39;s Fountain
 	20	22667	red	PART	Cherries
 	10	3794	R brown	PART	Plate, Modified 1 x 2 with 1 Stud (Jumper)
 	20	3040	R brown	PART	Slope 45 2 x 1
 	20	58176	T-B green	PART	Light Cover with Internal Bar / Bionicle Barraki Eye
 	10	4740	T-D blue	PART	Dish 2 x 2 Inverted (Radar)
 	10	6126b	T-L blue	PART	Wave Rounded with Base Rim (Castle Dragon Flame, Seaweed, Water)
 	20	87087	white	PART	Brick, Modified 1 x 1 with Stud on 1 Side
 	10	553c	white	PART	Brick, Round 2 x 2 Dome Top - Hollow Stud with Bottom Axle Holder x Shape + Orientation
 	10	4589b	white	PART	Cone 1 x 1 with Top Groove
 	10	4740	white	PART	Dish 2 x 2 Inverted (Radar)
 	10	43898	white	PART	Dish 3 x 3 Inverted (Radar)
 	10	3185	white	PART	Fence 1 x 4 x 2
 	10	2419	white	PART	Wedge, Plate 3 x 6 Cut Corners
